   Coeff   Det    RedA RedB RedC X Y UnredA UnredB UnredC
     -3      3    2, 1, 2   1, 116    27146, 233, 2
     -2      4    2, 0, 2    1, 60    7202, 120, 2
     -1      7    2, 1, 4   1, 150    90302, 601, 4
     -3     12    2, 0, 6   1, 107    68696, 642, 6
      6     12    4, 2, 4   1, 116    54292, 466, 4
     -5     16    2, 0, 8    1, 30    7202, 240, 8
      6     16    4, 0, 4    1, 60    14404, 240, 4
     -2     19   2, 1, 10    1, 52    27146, 521, 10
     -5     23   2, 1, 12   1, 152    277554, 1825, 12
     -5     23    4, 1, 6    1, 27    4432, 163, 6
     10     23    4, 1, 6    1, 65    25484, 391, 6
      0     27   2, 1, 14   1, 129    233234, 1807, 14
      6     27    6, 3, 6   1, 116    81438, 699, 6
     -9     28   2, 0, 14   1, 112    175618, 1568, 14
      4     28    4, 2, 8   1, 150    180604, 1202, 8
      8     36   2, 0, 18    1, 20    7202, 360, 18
     -7     36   4, 2, 10   1, 130    169524, 1302, 10
      2     36    6, 0, 6    1, 60    21606, 360, 6
      4     39   2, 1, 20    1, 21    8864, 421, 20
      4     39   4, 1, 10    1, 42    17728, 421, 10
      4     39   4, 1, 10   1, 124    154012, 1241, 10
    -11     39    6, 3, 8   1, 224    402758, 1795, 8
     -3     40   2, 0, 20   1, 103    212182, 2060, 20
     -3     40   4, 0, 10    1, 71    50414, 710, 10
      3     47   2, 1, 24   1, 105    264812, 2521, 24
      3     47   4, 1, 12   1, 113    153458, 1357, 12
    -12     47   4, 1, 12   1, 210    529624, 2521, 12
      3     47    6, 1, 8    1, 31    7756, 249, 8
      3     47    6, 1, 8    1, 38    11634, 305, 8
      6     48   2, 0, 24    1, 85    173402, 2040, 24
      0     48   4, 0, 12   1, 107    137392, 1284, 12
     -9     48    6, 0, 8    1, 22    3878, 176, 8
      3     48    8, 4, 8   1, 116    108584, 932, 8
     -5     52   2, 0, 26    1, 74    142378, 1924, 26
     10     52   4, 2, 14   1, 179    449294, 2508, 14
      7     55   2, 1, 28    1, 16    7202, 449, 28
     -8     55   4, 1, 14    1, 32    14404, 449, 14
      7     55   4, 1, 14    1, 47    31024, 659, 14
     -8     55    8, 3, 8    1, 82    54292, 659, 8
      1     59   2, 1, 30    1, 44    58170, 1321, 30
      1     59   6, 1, 10    1, 34    11634, 341, 10
      1     59   6, 1, 10   1, 132    174510, 1321, 10
      4     63   2, 1, 32    1, 39    48752, 1249, 32
      4     63   4, 1, 16    1, 78    97504, 1249, 16
      4     63   4, 1, 16    1, 95    144594, 1521, 16
      1     63   6, 3, 12   1, 150    270906, 1803, 12
    -11     63    8, 1, 8   1, 156    195008, 1249, 8
     -1     64   2, 0, 32    1, 15    7202, 480, 32
      4     64   4, 0, 16    1, 30    14404, 480, 16
     -4     64    8, 0, 8    1, 60    28808, 480, 8
     -1     64   8, 4, 10     1, 7    554, 74, 10
     -8     67   2, 1, 34     1, 4    554, 137, 34
     -4     71   2, 1, 36   1, 234    1971686, 8425, 36
     11     71   4, 1, 18   1, 191    657044, 3439, 18
     -4     71   4, 1, 18   1, 209    786680, 3763, 18
     -4     71   6, 1, 12   1, 148    263150, 1777, 12
     -4     71   6, 1, 12   1, 175    367856, 2101, 12
     -4     71   8, 3, 10    1, 99    98612, 993, 10
     11     71   8, 3, 10   1, 122    149580, 1223, 10
      3     75   2, 1, 38   1, 188    1343450, 7145, 38
      3     75   6, 3, 14    1, 83    96950, 1165, 14
      3     75   10, 5, 10   1, 116    135730, 1165, 10
     -7     76   2, 0, 38    1, 42    67034, 1596, 38
      4     76   4, 2, 20    1, 52    54292, 1042, 20
     -7     76   8, 2, 10   1, 104    108584, 1042, 10
      8     76   8, 2, 10   1, 228    520760, 2282, 10
     -9     79   2, 1, 40   1, 199    1584440, 7961, 40
      6     79   4, 1, 20   1, 121    293066, 2421, 20
      6     79   4, 1, 20   1, 239    1142902, 4781, 20
      6     79   8, 1, 10   1, 201    404420, 2011, 10
     -9     79   8, 1, 10   1, 242    586132, 2421, 10
     -8     83   2, 1, 42    1, 35    51522, 1471, 42
      7     83   6, 1, 14   1, 105    154566, 1471, 14
      7     83   6, 1, 14   1, 251    882522, 3515, 14
      4     84   2, 0, 42    1, 52    113570, 2184, 42
      4     84   4, 2, 22    1, 74    120772, 1630, 22
      4     84   6, 0, 14   1, 121    204980, 1694, 14
    -11     84   10, 4, 10   1, 169    286972, 1694, 10
     12     87   2, 1, 44    1, 27    32132, 1189, 44
    -18     87   4, 1, 22    1, 54    64264, 1189, 22
     -3     87   4, 1, 22    1, 97    207196, 2135, 22
     -3     87   6, 3, 16    1, 64    65926, 1027, 16
     -3     87   8, 3, 12   1, 145    253178, 1743, 12
     12     87   8, 3, 12   1, 270    876428, 3243, 12
     -1     88   2, 0, 44   1, 136    813826, 5984, 44
     -1     88   4, 0, 22     1, 5    554, 110, 22
     -8     91   2, 1, 46    1, 40    73682, 1841, 46
      7     91   10, 3, 10    1, 73    53738, 733, 10
      0     92   2, 0, 46    1, 17    13296, 782, 46
      5     92   4, 2, 24   1, 152    555108, 3650, 24
      0     92   6, 2, 16   1, 118    223262, 1890, 16
      0     92   6, 2, 16   1, 228    832662, 3650, 16
      5     92   8, 2, 12    1, 27    8864, 326, 12
    -10     92   8, 2, 12    1, 65    50968, 782, 12
      1    100   2, 0, 50    1, 12    7202, 600, 50
      1    100   4, 2, 26    1, 23    13850, 600, 26
      6    100   10, 0, 10    1, 60    36010, 600, 10
      0    108   2, 0, 54   1, 128    884738, 6912, 54
      0    108   4, 2, 28   1, 129    466468, 3614, 28
      6    108   6, 0, 18   1, 107    206088, 1926, 18
      0    108   8, 2, 14   1, 177    439322, 2480, 14
      0    108   8, 2, 14   1, 258    932936, 3614, 14
    -12    108   12, 6, 12   1, 116    162876, 1398, 12
      2    112   2, 0, 56    1, 56    175618, 3136, 56
     14    112   4, 0, 28   1, 112    351236, 3136, 28
    -13    112   8, 0, 14    1, 53    39334, 742, 14
     -5    112   8, 4, 16   1, 150    361208, 2404, 16
      8    116   2, 0, 58    1, 70    284202, 4060, 58
     -7    116   4, 2, 30     1, 6    1108, 182, 30
     -7    116   6, 2, 20     1, 9    1662, 182, 20
     -7    116   6, 2, 20   1, 157    493614, 3142, 20
      8    116   10, 2, 12    1, 15    2770, 182, 12
      8    116   10, 2, 12    1, 77    71466, 926, 12
      7    120   2, 0, 60    1, 61    223262, 3660, 60
     -8    120   4, 0, 30   1, 122    446524, 3660, 30
      7    120   6, 0, 20    1, 94    176726, 1880, 20
     -8    120   10, 0, 12    1, 28    9418, 336, 12
     -8    123   2, 1, 62   1, 137    1163954, 8495, 62
      7    123   6, 3, 22    1, 67    99166, 1477, 22
     -5    131   2, 1, 66     1, 5    1662, 331, 66
     -5    131   6, 1, 22    1, 15    4986, 331, 22
     -5    131   6, 1, 22   1, 136    407190, 2993, 22
     10    131   10, 3, 14    1, 63    55954, 885, 14
     -5    131   10, 3, 14   1, 174    424918, 2439, 14
      6    136   2, 0, 68    1, 67    305254, 4556, 68
     -9    136   4, 0, 34   1, 134    610508, 4556, 34
      6    136   10, 2, 14   1, 167    391124, 2340, 14
     -9    136   10, 2, 14   1, 268    1006618, 3754, 14
      5    144   2, 0, 72    1, 10    7202, 720, 72
     -9    144   4, 0, 36    1, 20    14404, 720, 36
      5    144   6, 0, 24    1, 30    21606, 720, 24
      5    144   8, 0, 18    1, 40    28808, 720, 18
      6    144   8, 4, 20   1, 130    339048, 2604, 20
    -10    144   10, 4, 16    1, 24    9418, 388, 16
      5    144   10, 4, 16   1, 114    208858, 1828, 16
     -6    144   12, 0, 12    1, 60    43212, 720, 12
     -6    147   2, 1, 74    1, 37    101382, 2739, 74
      9    147   6, 3, 26    1, 20    10526, 523, 26
      3    147   14, 7, 14   1, 116    190022, 1631, 14
      5    155   2, 1, 78    1, 82    524638, 6397, 78
    -10    155   6, 1, 26   1, 244    1548430, 6345, 26
      5    155   6, 1, 26   1, 246    1573914, 6397, 26
    -10    155   10, 5, 18   1, 106    203318, 1913, 18
      6    156   2, 0, 78    1, 25    48752, 1950, 78
    -16    156   4, 2, 40    1, 21    17728, 842, 40
     -9    156   6, 0, 26    1, 75    146256, 1950, 26
     -1    156   8, 2, 20    1, 42    35456, 842, 20
     -1    156   8, 2, 20   1, 124    308024, 2482, 20
      6    156   10, 2, 16   1, 155    385030, 2482, 16
      6    156   10, 2, 16   1, 191    584470, 3058, 16
     14    156   12, 6, 16   1, 224    805516, 3590, 16
      0    160   2, 0, 80    1, 87    605522, 6960, 80
      9    160   4, 0, 40   1, 103    424364, 4120, 40
      9    160   8, 0, 20    1, 71    100828, 1420, 20
    -15    160   8, 4, 22    1, 14    4432, 312, 22
      0    160   10, 0, 16   1, 119    226586, 1904, 16
    -15    160   14, 6, 14    1, 96    130190, 1350, 14
      5    164   2, 0, 82   1, 113    1047060, 9266, 82
    -10    164   4, 2, 42   1, 181    1376690, 7604, 42
      5    164   6, 2, 28   1, 133    495830, 3726, 28
    -10    164   6, 2, 28   1, 223    1393310, 6246, 28
      5    164   10, 4, 18    1, 39    27700, 706, 18
    -10    164   10, 4, 18   1, 176    558986, 3172, 18
      5    164   12, 2, 14   1, 169    400542, 2368, 14
      5    164   12, 2, 14   1, 266    991660, 3726, 14
      8    171   2, 1, 86    1, 72    445970, 6193, 86
      2    171   6, 3, 30    1, 52    81438, 1563, 30
     -7    171   10, 3, 18   1, 179    577822, 3225, 18
     -7    171   10, 3, 18   1, 190    650950, 3423, 18
      8    171   14, 5, 14   1, 165    382814, 2315, 14
     21    175   2, 1, 88   1, 161    2281372, 14169, 88
     -9    175   4, 1, 44    1, 45    89194, 1981, 44
     -9    175   4, 1, 44   1, 169    1257026, 7437, 44
     -9    175   8, 1, 22    1, 61    81992, 1343, 22
     -9    175   8, 1, 22    1, 90    178388, 1981, 22
      1    175   10, 5, 20   1, 150    451510, 3005, 20
     21    175   14, 7, 16   1, 158    401650, 2535, 16
      4    187   2, 1, 94    1, 58    316334, 5453, 94
      4    187   14, 3, 14     1, 6    554, 87, 14
     -3    188   2, 0, 94    1, 89    744576, 8366, 94
      3    188   4, 2, 48   1, 105    529624, 5042, 48
     12    188   6, 2, 32    1, 19    11634, 610, 32
     -3    188   6, 2, 32   1, 154    759534, 4930, 32
    -12    188   8, 2, 24   1, 113    306916, 2714, 24
     18    188   8, 2, 24   1, 210    1059248, 5042, 24
      3    188   12, 2, 16    1, 31    15512, 498, 16
